,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,PPS,3PAr,PER,USG%,Points_Produced,Possessions_Used,ORtg,Assist/Turnover Ratio,Defensive Possessions,Defensive Rating
0,1,Kobe Bufkin,SG,20,ATL,17,0,11.5,2.0,5.4,0.37,0.5,2.4,0.225,1.5,3.1,0.481,0.418,0.2,0.5,0.5,0.4,1.6,1.9,1.6,0.4,0.3,0.6,1.2,4.8,0.4270462633451957,0.8888888888888888,0.4444444444444444,14.772802399174516,54.08695652173913,5.02,6.22,80.70739549839227,2.666666666666667,2.3,43.47826086956522
1,2,Bruno Fernando,C,25,ATL,45,2,15.2,2.4,4.2,0.583,0.0,0.1,0.0,2.4,4.1,0.596,0.583,1.4,2.1,0.667,1.3,3.0,4.3,1.0,0.6,0.6,1.0,2.4,6.3,0.6147540983606556,1.5,0.023809523809523808,16.616295397454223,40.289473684210535,7.224,6.1240000000000006,117.9621162638798,1.0,4.2,23.80952380952381
2,3,Mouhamed Gueye,PF,21,ATL,6,0,12.2,1.3,3.8,0.348,0.5,1.5,0.333,0.8,2.3,0.357,0.413,0.8,1.0,0.833,1.7,2.0,3.7,0.7,0.8,0.7,0.2,2.2,4.0,0.4716981132075471,1.0526315789473684,0.39473684210526316,15.755490780530662,36.39344262295083,4.44,4.44,100.0,3.4999999999999996,3.5,28.571428571428573
3,4,Dylan Windler,SF,27,ATL,17,0,6.4,0.9,1.8,0.5,0.8,1.6,0.481,0.1,0.2,0.667,0.717,0.0,0.0,0.0,0.2,0.8,0.9,0.6,0.1,0.0,0.1,0.4,2.5,0.6944444444444444,1.3888888888888888,0.888888888888889,14.993377657021869,29.6875,2.5,1.9000000000000001,131.57894736842104,5.999999999999999,0.9,111.11111111111111
4,5,Wesley Matthews,SG,37,ATL,36,3,11.5,0.9,2.7,0.351,0.7,1.9,0.348,0.3,0.8,0.357,0.474,0.5,0.7,0.75,0.3,1.2,1.5,0.6,0.4,0.3,0.2,1.2,3.1,0.5152925531914894,1.1481481481481481,0.7037037037037036,10.5482532228564,27.895652173913046,3.408,3.208,106.23441396508728,2.9999999999999996,1.9000000000000001,52.63157894736842
5,6,Garrison Mathews,SG,27,ATL,66,5,15.0,1.6,3.4,0.456,1.3,2.9,0.44,0.3,0.5,0.545,0.644,0.5,0.6,0.81,0.3,1.1,1.4,0.6,0.3,0.1,0.3,1.7,4.9,0.6686681222707425,1.4411764705882355,0.8529411764705882,11.0039447592667,26.426666666666666,5.164000000000001,3.9639999999999995,130.2724520686176,2.0,1.5000000000000002,66.66666666666666
6,7,Dejounte Murray,SG,27,ATL,78,78,35.7,8.6,18.8,0.459,2.6,7.1,0.363,6.0,11.7,0.518,0.528,2.7,3.4,0.794,0.8,4.5,5.3,6.4,1.4,0.3,2.6,1.8,22.5,0.5542964130863225,1.1968085106382977,0.37765957446808507,21.02976860880244,64.13445378151259,23.996,22.896,104.8043326345213,2.4615384615384617,6.2,16.129032258064516
7,8,Onyeka Okongwu,C,23,ATL,55,8,25.5,4.1,6.6,0.611,0.4,1.3,0.333,3.6,5.4,0.676,0.642,1.7,2.1,0.793,2.6,4.2,6.8,1.3,0.5,1.1,0.8,2.9,10.2,0.6778309409888357,1.5454545454545454,0.196969696969697,16.637860341465725,32.64313725490196,11.123999999999999,8.324,133.6376741950985,1.625,5.800000000000001,17.241379310344826
8,9,De'Andre Hunter,SF,26,ATL,57,37,29.5,5.3,11.6,0.459,2.1,5.3,0.385,3.3,6.3,0.521,0.547,2.9,3.4,0.847,0.5,3.4,3.9,1.5,0.7,0.3,1.5,2.6,15.6,0.5956017104459377,1.3448275862068966,0.45689655172413796,16.131026757999177,49.47796610169491,17.096,14.596,117.12798026856673,1.0,4.3999999999999995,22.72727272727273
9,10,Seth Lundy,SF,23,ATL,9,0,5.8,0.4,1.9,0.235,0.3,1.4,0.231,0.1,0.4,0.25,0.324,0.3,0.4,0.75,0.1,0.7,0.8,0.0,0.0,0.0,0.1,0.7,1.6,0.3853564547206166,0.8421052631578948,0.7368421052631579,7.07559960565595,37.51724137931035,1.776,2.176,81.61764705882352,0.0,0.7,142.85714285714286
10,11,Clint Capela,C,29,ATL,73,73,25.8,4.8,8.5,0.571,0.0,0.0,0.0,4.8,8.5,0.572,0.571,1.8,2.8,0.631,4.6,6.0,10.6,1.2,0.6,1.5,1.0,2.2,11.5,0.5908343608713523,1.3529411764705883,0.0,19.286493886347078,41.596899224806194,12.732,10.732,118.6358553857622,1.2,8.1,12.345679012345679
11,12,Vit Krejci,PG,23,ATL,22,14,24.6,2.3,4.7,0.49,1.3,3.1,0.412,1.0,1.6,0.639,0.625,0.2,0.3,0.833,0.5,1.9,2.4,2.3,0.6,0.3,0.9,2.2,6.1,0.6312086092715231,1.297872340425532,0.6595744680851063,9.911253584393243,23.30081300813008,6.231999999999999,5.732,108.72295882763432,2.5555555555555554,2.8,35.714285714285715
12,13,Trae Young,PG,25,ATL,54,54,36.0,8.0,18.7,0.43,3.2,8.7,0.373,4.8,10.0,0.479,0.516,6.4,7.5,0.855,0.4,2.3,2.8,10.8,1.3,0.2,4.4,2.0,25.7,0.5840909090909091,1.374331550802139,0.4652406417112299,22.70695182270984,73.33333333333333,29.0,26.4,109.84848484848486,2.4545454545454546,3.8,26.315789473684212
13,14,Trent Forrest,SG,25,ATL,38,0,10.9,0.9,2.4,0.378,0.1,0.3,0.2,0.8,2.1,0.4,0.389,0.3,0.4,0.765,0.3,1.1,1.3,2.4,0.3,0.1,0.5,0.7,2.2,0.42701863354037267,0.9166666666666667,0.125,10.935104355476106,28.220183486238533,2.3760000000000003,3.076,77.24317295188557,4.8,1.5000000000000002,66.66666666666666
